Names,Prices,RAM|ROM,Camera,Display,Processor,Battery,Ratings
"realme C3 (Blazing Red, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,12MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,5000 mAh Battery,4.4
"realme C3 (Frozen Blue, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,12MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,5000 mAh Battery,4.1
"Infinix HOT 30i (Mirror Black, 128 GB)","8,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + AI Lens | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,G37 Processor,5000 mAh Battery,None
"Tecno Spark 8C (Iris Purple, 64 GB)","8,740",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc T606 Processor,5000 mAh Battery,None
"SAMSUNG Galaxy M02 (Blue, 32 GB)","8,799",2 GB RAM | 32 GB ROM,13MP + 2MP | 5MP Front Camera,16.64 cm (6.55 inch) Full HD+ Display,MediaTek MT6739 Processor,5000 mAh Battery,4
"Tecno Spark go 2021 (Maldives Blue, 32 GB)","8,249",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A20 Quad Core Processor,5000 mAh Battery,4.2
"Infinix HOT 30i (Glacier Blue, 128 GB)","8,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + AI Lens | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,G37 Processor,5000 mAh Battery,3.9
Cellecor E3,"1,176",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.8MP Rear Camera,4.57 cm (1.8 inch) Display,1 Year Manufacturer Warranty,1000 mAh Battery,4.3
"Redmi 9A (Nature Green, 32 GB)","8,177",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Battery,4.2
"Redmi 8A Dual (Midnight Grey, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,5000 mAh Lithium Polymer Battery,4.3
"Redmi 3S Prime (Gold, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,Qualcomm Snapdragon 430 64-bit Octa Core 1.4GHz Processor,4100 mAh Li-Ion Polymer Battery,3.9
"Intex Indie 6 (Champagne / Champ, 16 GB)","8,499",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,8MP Rear Camera | 8MP + 2MP Dual Front Camera,12.7 cm (5 inch) HD Display,SC9850 Processor,2400 mAh Li-ion Battery,3.9
"Panasonic P55 Max (Champagne Gold, 16 GB)","8,499",3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) HD Display,MediaTek MTK6737 Quad Core 1.25 GHz Processor,5000 mAh Li-ion Polymer Battery,4.4
"Infinix Smart 4 Plus (Violet, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + Depth Sensor | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,Mediatek Helio A25 Processor,6000 mAh Lithium-ion Polymer Battery,2.7
"Maplin Map2Pro (Royal Gold, 128 GB)","9,990",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16MP + 4MP | 16MP + 16MP Dual Front Camera,15.9 cm (6.26 inch) Full HD Display,Cortex A53 2.5Ghz Octa Core processor Processor,5000 mAh Battery,4.4
"Redmi Note 7S (Onyx Black, 64 GB)","9,800",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,48MP + 5MP | 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,Qualcomm Snapdragon 660 AIE Processor,4000 mAh Battery,4.4
"Redmi Note 5 (Gold, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,12MP Rear Camera | 5MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,Qualcomm Snapdragon 625 Processor,4000 mAh Li Polymer Battery,4.2
"Infinix Hot S3 (Sandstone Black, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 20MP Front Camera,14.35 cm (5.65 inch) HD+ Display,Qualcomm Snapdragon 430 MSM8937 Processor,4000 mAh Li-ion Polymer Battery,4.3
"Tecno Spark 6 Go (Mystery White, 64 GB)","9,299",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP + AI Lens Dual AI Camera | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A25 Processor,5000 mAh Li-ion Battery,4.4
"Redmi Note 7S (Onyx Black, 32 GB)","9,890",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,48MP + 5MP | 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,Qualcomm Snapdragon 660 AIE Processor,4000 mAh Battery,4.4
"Infinix Smart 4 Plus (Quetzal Cyan, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + Depth Sensor | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,Mediatek Helio A25 Processor,6000 mAh Lithium-ion Polymer Battery,4.2
"SAMSUNG Galaxy M01 (Red, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP + 2MP | 5MP Front Camera,14.48 cm (5.7 inch) HD+ Display,Qualcomm Snapdragon (SDM439) Octa Core Processor,4000 mAh Lithium-ion Battery,4.4
"Redmi Y3 (Bold Red, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,12MP + 2MP | 32MP Front Camera,15.9 cm (6.26 inch) HD+ Display,Qualcomm Snapdragon 632 Processor,4000 mAh Battery,4.1
"REDMI 10A (Sea Blue, 32 GB)","7,998",3 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,12 months,5000 mAh Battery,4.2
"realme Narzo 50i Prime (Dark Blue, 64 GB)","8,800",4 GB RAM | 64 GB ROM,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,Unisoc T612 processor Processor,5000 mAh Battery,4.2
"REDMI 9 Activ (Coral Green, 64 GB)","8,978",4 GB RAM | 64 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,12 months,5000 mAh Battery,4.1
"LAVA YUVA 2 PRO (Green, 64 GB)","8,599",4 GB RAM | 64 GB ROM,13MP Rear Camera,16.51 cm (6.5 inch) Display,1 Year Handset Domestic Warranty and 6 Months Warranty on Accessories,5000 mAh Battery,4.2
"Honor 7C (Black, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 8MP Front Camera,15.21 cm (5.99 inch) Display,Qualcomm SDM450 Processor,3000 mAh Battery,None
"XOLO ERA 3X (Posh Black, 16 GB)","8,499",3 GB RAM | 16 GB ROM | Expandable Upto 64 GB,13MP Rear Camera | 13MP Front Camera,12.7 cm (5 inch) HD Display,Mediatek MTK 6737 Quad Core 1.25 GHz Processor,3000 mAh Battery,3.9
"LAVA YUVA 2 PRO (White, 64 GB)","8,999",4 GB RAM | 64 GB ROM,13MP Rear Camera,16.51 cm (6.5 inch) Display,1 Year Handset Domestic Warranty and 6 Months Warranty on Accessories,5000 mAh Battery,4.1
"Tecno Spark 7 (Morpheus Blue, 64 GB)","8,650",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16MP Rear Camera | 8MP Front Camera,16.51 cm (6.5 inch) HD Display,12 MONTHS Company Warranty,6000 mAh Battery,4
"realme C11 (Rich Green, 32 GB)","8,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio G35 Processor,5000 mAh Battery,4.4
"Redmi 6 Pro (Black, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,12MP + 5MP | 5MP Front Camera,14.83 cm (5.84 inch) Full HD+ Display,Qualcomm Snapdragon 625 Processor,4000 mAh Battery,4.3
"Nokia 2.2 (Black, 16 GB)","8,599",2 GB RAM | 16 GB ROM | Expandable Upto 400 GB,13MP Rear Camera | 5MP Front Camera,14.5 cm (5.71 inch) HD+ Display,MediaTek Helio A22 Processor,3000 mAh Battery,4
"realme C2 (Diamond Black, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 5MP Front Camera,15.49 cm (6.1 inch) HD+ Display,MediaTek P22 Octa Core 2.0 GHz Processor,4000 mAh Battery,4.4
"realme C11 (Rich Grey, 32 GB)","8,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio G35 Processor,5000 mAh Battery,4.4
"itel P40 (Force Black, 64 GB)","8,499",4 GB RAM | 64 GB ROM,13MP Rear Camera,16.76 cm (6.6 inch) Display,"One Time Screen Replacement Within 100 Days of Purchase, 1 Year Warranty on Mobile Device & 6 Months on Accessories",6000 mAh Battery,4.5
"Infinix Hot 8 (Quetzal Cyan, 64 GB)","8,999",4 GB RAM | 64 GB ROM,13MP + 2MP + Low Light Sensor | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio P22 (MTK6762) Processor,5000 mAh Li-ion Polymer Battery,4.3
"realme Narzo 30A (Laser Blue, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 8MP Front Camera,16.54 cm (6.51 inch) HD+ Display,MediaTek Helio G85 Processor,6000 mAh Battery,4.2
"Infinix Note 4 (Ice Blue, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 8MP Front Camera,14.48 cm (5.7 inch) Full HD Display,Mediatek MT6753 Octa Core 1.3 Ghz Processor,4300 mAh Li-polymer Battery,4.1
"Honor 7S (Blue, 16 GB)","8,999",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 5MP Front Camera,13.84 cm (5.45 inch) Display,Mediatek MT6739 Cortex A53 Processor,3020 mAh Battery,4.2
"Infinix Note 4 (Milan Black, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 8MP Front Camera,14.48 cm (5.7 inch) Full HD Display,Mediatek MT6753 Octa Core 1.3 Ghz Processor,4300 mAh Li-polymer Battery,4.5
"Redmi Y2 (Blue, 32 GB)","7,990",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,12MP + 5MP | 16MP Front Camera,15.21 cm (5.99 inch) HD+ Display,Qualcomm Snapdragon 625 Processor,3080 mAh Li Polymer Battery,4.2
"SAMSUNG Galaxy J3 Pro (Black, 16 GB)","8,490",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,8MP Rear Camera | 5MP Front Camera,12.7 cm (5 inch) HD Display,Spreadtrum Quad Core 1.5GHz Processor,2600 mAh Battery,4.4
"realme C1 (Mirror Black, 32 GB)","8,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 5MP Front Camera,15.75 cm (6.2 inch) HD+ Display,Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor,4230 mAh Li-ion Battery,4.5
"realme 3 (Radiant Blue, 32 GB)","8,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P70 Octa Core 2.1 GHz AI Processor,4230 mAh Battery,4.5
"realme 3 (Dynamic Black, 32 GB)","8,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P70 Octa Core 2.1 GHz AI Processor,4230 mAh Battery,4.4
"Redmi Note 5 (Rose Gold, 32 GB)","8,990",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12MP Rear Camera | 5MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,Qualcomm Snapdragon 625 Processor,4000 mAh Li Polymer Battery,4.4
"Redmi 8A (Ocean Blue, 32 GB)","8,999",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,12MP Rear Camera | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,5000 mAh Battery,4.3
"Honor 7A (Blue, 32 GB)","8,990",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 8MP Front Camera,14.48 cm (5.7 inch) HD+ Display,Qualcomm Snapdragon Octa Core Processor,3000 mAh Battery,4.4
"realme C1 (Navy Blue, 16 GB)","8,990",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 5MP Front Camera,15.75 cm (6.2 inch) HD+ Display,Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor,4230 mAh Li-ion Battery,4.4
"realme C1 (Mirror Black, 16 GB)","8,990",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 5MP Front Camera,15.75 cm (6.2 inch) HD+ Display,Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor,4230 mAh Li-ion Battery,None
"Panasonic P55 Max (Matte Black, 16 GB)","8,499",3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) HD Display,MediaTek MTK6737 Quad Core 1.25 GHz Processor,5000 mAh Li-ion Polymer Battery,3.9
"LAVA YUVA 2 PRO (LAVENDER, 64 GB)","8,499",6 GB RAM | 64 GB ROM,13MP Rear Camera,16.51 cm (6.5 inch) Display,1 Year Handset Warranty and 6 Months Warranty on Accessories,5000 mAh Battery,3.9
"itel P40 (Dreamy Blue, 64 GB)","8,499",4 GB RAM | 64 GB ROM,13MP Rear Camera,16.76 cm (6.6 inch) Display,"One Time Screen Replacement Within 100 Days of Purchase, 1 Year Warranty on Mobile Device & 6 Months on Accessories",6000 mAh Battery,4.2
Cellecor E3,"1,176",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.8MP Rear Camera,4.57 cm (1.8 inch) Display,1 Year Manufacturer Warranty,1000 mAh Battery,4.1
"Tecno Spark 8C (Magnet Black, 64 GB)","8,199",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc T606 Processor,5000 mAh Battery,4.3
"Tecno Spark 8 (Turquoise Cyan, 64 GB)","8,199",2 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16MP Rear Camera | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A25 Processor,5000 mAh Battery,4.3
"POCO C31 (Royal Blue, 64 GB)","7,499",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP + 2MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek G35 Processor,5000 mAh Lithium-ion Polymer Battery,4
"POCO C31 (Shadow Gray, 64 GB)","7,499",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP + 2MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Lithium-ion Polymer Battery,4.2
"MOTOROLA e13 (Aurora Green, 64 GB)","7,749",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc T606 Processor,5000 mAh Battery,4.2
"Infinix SMART 7 (Night Black, 64 GB)","7,499",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,13MP + AI Lens | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc Spreadtrum SC9863A1 Processor,6000 mAh Battery,4.2
"Infinix SMART 7 (Emerald Green, 64 GB)","7,499",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,13MP + AI Lens | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc Spreadtrum SC9863A1 Processor,6000 mAh Battery,4
"Infinix SMART 7 (Azure Blue, 64 GB)","7,499",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,13MP + AI Lens | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc Spreadtrum SC9863A1 Processor,6000 mAh Battery,4
"MOTOROLA e13 (Cosmic Black, 64 GB)","7,749",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc T606 Processor,5000 mAh Battery,4.4
"MOTOROLA e13 (Creamy White, 64 GB)","7,749",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc T606 Processor,5000 mAh Battery,4.2
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","7,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD Display,Mediatek Helio P35 Processor,5000 mAh Lithium-Ion Battery,4.1
"REDMI A1 (Black, 32 GB)","6,272",2 GB RAM | 32 GB ROM,5MP Rear Camera,16.56 cm (6.52 inch) Display,12 months,5000 mAh Battery,4.4
"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)","6,633",2 GB RAM | 32 GB ROM,8MP Rear Camera,16.51 cm (6.5 inch) Display,"12 Months brand Warranty , Domestic Only",5000 mAh Battery,4.4
"realme C11 2021 (Cool Grey, 32 GB)","7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,5000 mAh Battery,4.3
"realme C11 2021 (Cool Blue, 32 GB)","7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,5000 mAh Battery,4.4
"REDMI 9i Sport (Carbon Black, 64 GB)","7,699",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Li-Polymer Battery,4.1
"realme C20 (Cool Grey, 32 GB)","7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Battery,4.4
"REDMI A1+ (Light Green, 32 GB)","7,499",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio A22 Processor,5000 mAh Lithium Polymer Battery,4.2
"realme C20 (Cool Blue, 32 GB)","7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Battery,None
"Tecno Pop 5 Pro (Ice Blue, 32 GB)","7,199",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio A22 Processor,6000 mAh Battery,None
"Infinix Smart 5A (Midnight Black, 32 GB)","7,199",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP + Depth Sensor | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A20 Processor,5000 mAh Li-ion Polymer Battery,4.3
"REDMI A1+ (Light Blue, 32 GB)","7,499",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio A22 Processor,5000 mAh Lithium Polymer Battery,4.1
"Redmi 9A (Midnight Black, 32 GB)","7,800",2 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Full HD+ Display,1 Year  Manufacturer Warranty,5000 mAh Battery,4.3
"itel Vision3 Turbo (Deep Ocean Black, 64 GB)","7,100",3 GB RAM | 64 GB ROM,8MP Rear Camera,16.76 cm (6.6 inch) Display,1 Year warranty on mobile device &  6 months on accessories.,5000 mAh Battery,3.8
"itel Vision 3 (Multi Green, 64 GB)","7,299",3 GB RAM | 64 GB ROM | Expandable Upto 128 GB,8MP Rear Camera | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc 9863A Processor,5000 mAh Lithium Polymer Battery,4.1
"Micromax IN 2B (Black, 64 GB)","7,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,ARM Cortex A75 Octa Core Processor,5000 mAh Battery,3.9
"POCO C3 (Matte Black, 32 GB)","7,999",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP + 2MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,Mediatek Helio G35 Processor,5000 mAh Li-ion Polymer Battery,4.3
"LAVA Z66 (Berry Red, 32 GB)","7,399",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13MP + 5MP | 13MP Front Camera,15.44 cm (6.08 inch) HD+ Display,Octa Core Processor,3950 mAh Lithium Polymer Battery,4
"Tecno Pop 5 LTE (Turquoise Cyan, 32 GB)","7,350",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Unisoc SC9863A Processor,5000 mAh Battery,4.2
"LAVA Z2 Max (Stroked Blue, 32 GB)","7,799",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 8MP Front Camera,17.78 cm (7 inch) HD+ Display,MediaTek Helio Quad Core Processor,6000 mAh Li-Polymer Battery,4.1
"Infinix Smart 5 (Obsidian Black, 32 GB)","7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + Low Light Sensor | 8MP Front Camera,17.32 cm (6.82 inch) HD+ Display,MediaTek Helio G25 Processor,6000 mAh Li-ion Polymer Battery,4.3
"itel Vision2S (Deep Blue, 32 GB)","6,180",2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,8MP + VGA Dual AI Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Unisoc 9863A Octa Core Processor,5000 mAh Li-ion Polymer Battery,4
"itel Vision3 Turbo (Jewel Blue, 64 GB)","7,990",3 GB RAM | 64 GB ROM,8MP Rear Camera,16.76 cm (6.6 inch) Display,1 Year warranty on mobile device &  6 months on accessories.,5000 mAh Battery,3.8
"itel Vision2S (Gradation Purple, 32 GB)","6,189",2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,8MP + VGA Dual AI Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Unisoc 9863A Octa Core Processor,5000 mAh Li-ion Polymer Battery,4
"Tecno Spark Go 2020 (Ice jadeite, 32 GB)","7,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + AI Lens Dual Camera | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A20 Quad Core Processor,5000 mAh Lithium-ion Battery,4.4
"REDMI 9i (Sea Blue, 64 GB)","7,499",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Lithium Polymer Battery,4.3
"LAVA Z3 (Striped Blue, 32 GB)","7,499",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio A20 Processor,5000 mAh Lithium Polymer Battery,4.1
"LAVA Z2s (Striped Blue, 32 GB)","7,299",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.54 cm (6.51 inch) HD+ Display,MediaTek Helio Octa Core Processor,5000 mAh Li-Polymer Battery,4.1
"Infinix Smart HD 2021 (Quartz Green, 32 GB)","7,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,15.49 cm (6.1 inch) HD+ Display,MediaTek Helio A20 Processor,5000 mAh Li-ion Polymer Battery,4.3
"Lenovo Vibe K5 Note (Gold, 32 GB)","7,990",4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 8MP Front Camera,13.97 cm (5.5 inch) Full HD Display,Mediatek Helio P10 64-bit Octa Core 1.8GHz Processor,3500 mAh Li-Ion Polymer Battery,4.1
"SAMSUNG Galaxy A03 Core (Blue, 32 GB)","7,990",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Octa Core Processor,5000 mAh Li-ion Battery,4.1
"LAVA Z2 (Flame Red, 32 GB)","7,999",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP + 2MP | 8MP Front Camera,16.55 cm (6.517 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Li-Polymer Battery,4.1
"LAVA Z2 (Aqua Blue, 32 GB)","7,999",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP + 2MP | 8MP Front Camera,16.55 cm (6.517 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Li-Polymer Battery,4.1
"Redmi 8A (Ocean Blue, 32 GB)","7,999",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,12MP Rear Camera | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,5000 mAh Battery,4.4
"Micromax IN 2B (Black, 64 GB)","7,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,ARM Cortex A75 Octa Core Processor,5000 mAh Battery,3.9
"REDMI 9i Sport (Metallic Blue, 64 GB)","7,699",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Li-Polymer Battery,4.3
"LAVA Z66 (Berry Red, 32 GB)","7,399",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13MP + 5MP | 13MP Front Camera,15.44 cm (6.08 inch) HD+ Display,Octa Core Processor,3950 mAh Lithium Polymer Battery,4
"Tecno Spark Go 2022 (Turquoise Cyan, 32 GB)","6,970",2 GB RAM | 32 GB ROM,13MP Rear Camera,16.66 cm (6.56 inch) HD+ Display,Helio A20 Processor,5000 mAh Battery,4.2
"Tecno Pop 5 LTE (Ice Blue, 32 GB)","6,439",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Unisoc SC9863A Processor,5000 mAh Battery,4.2
"Tecno Pop 5 LTE (Turquoise Cyan, 32 GB)","7,350",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Unisoc SC9863A Processor,5000 mAh Battery,4.2
