Names,Prices,RAM|ROM,Camera,Display,Processor,Battery,Ratings
"Tecno Spark 8 (Atlantic Blue, 64 GB)","9,489",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16MP Rear Camera | 8MP Front Camera,16.66 cm (6.56 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Battery,4.1
"Tecno Spark 8P (Tahiti Gold, 64 GB)","9,198",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,50MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,MediaTek Helio G85 Processor,5000 mAh Battery,4.1
"realme C31 (Dark Green, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 0.3MP | 5MP Front Camera,16.56 cm (6.52 inch) HD Display,Unisoc T612 Processor,5000 mAh Battery,4.4
"realme C21 (Cross Black, 32 GB)","9,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Battery,4.4
"OPPO A16E (Midnight Black, 32 GB)","9,990",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio P22 Processor,4230 mAh Battery,4.3
"SAMSUNG Galaxy A04e (Copper, 64 GB)","9,999",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio P35 Processor,5000 mAh Lithium Ion Battery,4.4
"REDMI 9 Activ (Coral Green, 64 GB)","9,400",4 GB RAM | 64 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,12 months,5000 mAh Battery,4.2
"realme C21Y (Cross Black, 32 GB)","9,499",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Unisoc T610 Processor,5000 mAh Battery,4.6
"Tecno Spark 8C (Turquoise Cyan, 64 GB)","9,400",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,Unisoc T606 Processor,5000 mAh Battery,4.2
"Tecno Spark 9T (Turquoise Cyan, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,50MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,MediaTek Helio G35 Processor,5000 mAh Battery,4.4
